project_id,title,country,climate_bin,typology,massing_type,wwr_band,image_ids,plan_ids,tags
p_mies_farnsworth,Farnsworth House,USA,humid_continental,residential,pavilion,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['pilotis','glass_pavilion','minimal_core']"
p_corbu_villasavoye,Villa Savoye,France,temperate_oceanic,residential,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['pilotis','ramp','roof_garden']"
p_aalto_saynatsalo,Säynätsalo Town Hall,Finland,subarctic,civic,courtyard,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['brick','civic_courtyard','council_chamber']"
p_niemeyer_brasilia_cathedral,Cathedral of Brasília,Brazil,tropical_savanna,religious,shell,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['hyperbolic_paraboloid','iconic_roof','glass']"
p_bobardi_sescpompeia,SESC Pompéia,Brazil,humid_subtropical,cultural,campus,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['industrial_reuse','bridges','perforated_concrete']"
p_bobardi_masp,MASP,Brazil,humid_subtropical,museum,bar,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['suspended_volume','urban_plinth','red_portal']"
p_kahn_kimbell,Kimbell Art Museum,USA,humid_subtropical,museum,bar,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['cycloid_vaults','toplight','courtyard']"
p_utzon_sydney_opera,Sydney Opera House,Australia,humid_subtropical,cultural,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['shell_roofs','harborfront','iconic_silhouette']"
p_zaha_maxxi,MAXXI Museum,Italy,mediterranean,museum,weaving_bars,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['fluid_circulation','ribbons','concrete']"
p_zaha_heydar,Heydar Aliyev Center,Azerbaijan,cold_semiarid,cultural,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['continuous_surface','wave_roof','public_plaza']"
p_foster_hearst,Hearst Tower,USA,humid_subtropical,office,tower,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['diagrid','landmark_podium','retrofit']"
p_foster_reichstag,Reichstag Dome,Germany,humid_continental,civic,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['glass_dome','public_ramp','adaptive_reuse']"
p_piano_rogers_pompidou,Centre Pompidou,France,temperate_oceanic,museum,frame,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['inside_out_services','piazza','long_span']"
p_rogers_lloyds,Lloyd’s Building,UK,temperate_oceanic,office,coreless_tower,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['services_on_exterior','atrium','steel']"
p_som_875nmichigan,875 N Michigan (John Hancock Center),USA,humid_continental,mixed_use,tapered_tower,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['bundled_tube','x_bracing','observation_deck']"
p_sanaa_glasspavilion,"Glass Pavilion, Toledo Museum of Art",USA,humid_continental,cultural,pavilion,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['curved_glass','enfilade_rooms','low_profile']"
p_nouvel_iMA,Institut du Monde Arabe,France,temperate_oceanic,cultural,bar,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['mashrabiya_facade','light_apertures','riverfront']"
p_toyoito_sendai,Sendai Mediatheque,Japan,humid_subtropical,cultural,slab,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['tubes_structure','open_floor','media_library']"
p_shigeruban_metz,Centre Pompidou-Metz,France,temperate_oceanic,museum,hall,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['timber_roof','large_spans','iconic_canopy']"
p_doshi_iimblr,IIM Bangalore,India,tropical_savanna,education,campus,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['pergolas','stone_arcades','courtyards']"
p_correa_kanchan,Kanchanjunga Apartments,India,tropical_savanna,highrise_housing,tower,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['sky_gardens','cross_ventilation','split_levels']"
p_zumthor_vals,Therme Vals,Switzerland,alpine,cultural,field,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['stone_layers','baths','subtractive_space']"
p_rcr_soulages,Soulages Museum,France,temperate_oceanic,museum,bar_cluster,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['cor_ten','landscape_siting','bar_typology']"
p_lacaton_bordeaux,"Grand Parc Bordeaux (G, H, I)",France,temperate_oceanic,midrise_housing,slab,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['winter_gardens','retrofit','loggias']"
p_elemental_quinta,Quinta Monroy,Chile,arid_hot_desert,lowrise_housing,row,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['incremental_housing','half_house','social_housing']"
p_dsr_broad,The Broad,USA,mediterranean,museum,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['veil_vault','porous_facade','vaulted_storage']"
p_snohetta_oslo_opera,Oslo Opera House,Norway,humid_continental,cultural,landscape_building,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['walkable_roof','fjord_edge','sloped_planes']"
p_hl_harpa,Harpa Concert Hall,Iceland,subpolar_oceanic,cultural,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['faceted_glass','harborfront','light_modulation']"
p_foa_yokohama,Yokohama Int’l Passenger Terminal,Japan,humid_subtropical,infrastructure,landscape_building,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['folded_surface','public_deck','port_terminal']"
p_studiogang_aqua,Aqua Tower,USA,humid_continental,mixed_use,tower,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['undulating_balconies','thermal_bridging_mitigations','city_icon']"
p_kengo_asakusa,Asakusa Culture & Tourism Center,Japan,humid_subtropical,civic,stacked_boxes,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['vernacular_roofs','stacked_house','urban_corner']"
p_holl_kiasma,Kiasma Museum of Contemporary Art,Finland,humid_continental,museum,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['light_bands','curvilinear_plan','urban_stitch']"
p_tschumi_acropolis,Acropolis Museum,Greece,mediterranean,museum,stacked_bars,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['archaeological_site','glass_floors','rotation']"
p_siza_ibere,Iberê Camargo Foundation,Brazil,humid_subtropical,museum,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['ramp_loops','white_concrete','riverfront']"
p_souto_braga,Braga Municipal Stadium,Portugal,mediterranean,sports,landscape_integration,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['cliff_grandstand','cable_roof','minimalist']"
p_murcutt_magney,Magney House,Australia,temperate_oceanic,residential,bar,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['climate_responsive','verandah','shed_roof']"
p_embt_scottish_parliament,Scottish Parliament,UK,temperate_oceanic,civic,campus,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['landscape_massing','debating_chamber','crafted_details']"
p_saarinen_twa,TWA Flight Center,USA,humid_subtropical,transportation,shell,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['thin_shell','sweeping_forms','terminal']"
p_safdie_habitat67,Habitat 67,Canada,humid_continental,midrise_housing,stacked_modules,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['prefabrication','terraces','modular']"
p_snohetta_bibliotheca,Bibliotheca Alexandrina,Egypt,mediterranean,library,object,unknown,"['i_hero','i_facade','i_plan']","['pl_plan']","['tilted_disc','inscribed_facade','waterfront']"
